step,v_x_car,v_y_car,x_car,y_car,v_x_ped_0,v_y_ped_0,x_ped_0,y_ped_0,a_x_0,a_y_0,noise_v_x_0,noise_v_y_0,noise_x_0,noise_y_0,reward
0,15.0,0.0,-19.999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.167470326428998e-6,0.0,-3.134506106138309,0.5390260290382032,0.0
1,14.1,0.0,-18.544999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00014450725371170298,0.0,-3.559000160983331,-0.5759185815406408,0.0
2,13.2,0.0,-17.179999999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.196478594570123e-5,0.0,2.6301730497546267,2.3045957202401257,0.0
3,12.299999999999999,0.0,-15.904999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.975809916593928e-5,0.0,-2.9632994043520746,1.414979329403057,0.0
4,11.399999999999999,0.0,-14.719999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.057759082239354e-5,0.0,-0.05124069879787123,-2.3996838476994338,0.0
5,11.459994942240916,0.0,-13.577000252887947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.33336863128805e-6,0.0,-1.2903687835208844,0.44036427406101497,0.0
6,10.559994942240916,0.0,-12.476000758663854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.439688069924886e-5,0.0,3.037554491589709,-0.19160567775543313,0.0
7,10.703988008328755,0.0,-11.41280161113537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.4901592187062663e-5,0.0,-0.961154045012248,-1.9112419531996603,0.0
8,9.803988008328755,0.0,-10.387402810302493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013562363575863882,0.0,2.7962964412313305,-0.2035868898218397,0.0
9,8.903988008328755,0.0,-9.45200400946962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001395754111066243,0.0,-3.4409290574061515,-1.3626142697346337,0.0
10,8.003988008328754,0.0,-8.606605208636743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8694341487912815e-5,0.0,3.9807901875122367,2.397932687812319,0.0
11,8.303988008328755,0.0,-7.79120640780387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.85165502186914e-5,0.0,-1.1893085711244347,0.37212597251996893,0.0
12,7.403988008328755,0.0,-7.005807606970993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.881242888706818e-6,0.0,-1.1486371309857035,1.3249434071541435,0.0
13,6.503988008328754,0.0,-6.310408806138117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7319201691728055e-5,0.0,-2.005590625853745,-2.6494348077218666,0.0
14,5.603988008328754,0.0,-5.70501000530524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001796501094802189,0.0,0.4763058345430977,4.9667537989295205,0.0
15,4.7039880083287535,0.0,-5.189611204472364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.929007592279647e-5,0.0,-1.460948534929753,7.220425704562922,0.0
16,3.8039880083287536,0.0,-4.764212403639487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.299296114209378e-5,0.0,-5.348758866115635,-1.249353538651987,0.0
17,0.0,0.0,-4.764212403639487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.030072833599779e-5,0.0,-3.247064694153892,1.205281596381237,0.0
18,0.0,0.0,-4.764212403639487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1746814519675795e-5,0.0,-3.9220794181869,-0.3893560801510402,0.0
19,0.0,0.0,-4.764212403639487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9431160293011666e-5,0.0,1.2087193918458157,-1.2832691532432754,0.0
20,0.0,0.0,-4.764212403639487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9431160293011666e-5,0.0,1.2087193918458157,-1.2832691532432754,0.0
